age,income,credit_score,loan_amount,active_loans,app_usage_frequency,engagement_score,migrated,loan_status_Ongoing,loan_status_Paid
27,64519,337,48941,1,4,42,0,False,False
31,74649,435,43756,4,23,82,0,False,False
53,59524,720,5722,2,8,20,0,True,False
52,121493,518,16194,2,13,60,0,False,False
42,58885,647,27631,4,24,9,0,False,True
43,69369,845,28912,0,8,33,0,False,False
56,126132,378,18166,4,14,49,0,False,False
54,120402,572,47840,1,28,68,0,True,False
63,55676,460,16976,0,25,4,0,False,False
59,89093,607,39623,2,1,48,0,True,False
41,72764,673,47062,1,9,16,0,True,False
46,75799,308,13046,3,26,47,0,True,False
54,104414,743,34444,3,24,26,0,False,True
20,130296,412,24634,3,1,70,0,False,False
54,118095,504,5090,2,7,37,0,False,False
56,137082,704,46266,4,25,22,0,False,False
33,97307,496,31008,0,20,7,0,True,False
22,107062,414,23107,2,13,42,0,False,True
20,120432,420,46545,1,15,30,0,True,False
24,56923,364,9382,1,29,74,0,False,False
45,142449,575,48774,3,9,79,0,True,False
33,126739,538,10034,0,16,6,0,True,False
58,129926,601,9526,3,17,24,0,False,False
46,103388,691,25073,1,9,66,0,True,False
28,72574,821,47698,1,6,40,0,True,False
34,68391,668,2110,4,20,15,0,False,True
34,146757,532,17445,4,12,53,0,True,False
45,78664,494,1386,4,16,85,1,False,True
61,92384,311,19584,3,28,82,0,False,False
32,56027,476,46674,0,21,5,0,False,True
51,60464,516,35451,4,15,89,0,True,False
58,59485,310,48801,2,7,36,0,False,False
51,44456,745,49476,4,10,74,0,True,False
23,99795,463,31549,3,29,46,0,True,False
49,60554,352,7321,0,4,23,0,False,True
56,71922,517,25440,4,24,88,0,True,False
42,38409,659,32566,0,3,45,0,False,True
58,94327,684,42446,2,18,10,0,False,False
64,116400,355,33521,1,1,54,0,False,False
34,61639,417,45692,0,13,70,0,True,False
62,125110,552,24798,4,22,77,0,False,True
48,88627,479,14565,3,18,85,0,True,False
55,108424,714,24027,3,8,32,1,True,False
32,44692,534,42500,3,11,43,0,True,False
51,114037,379,33095,3,10,15,0,True,False
26,103840,321,6631,0,29,66,0,False,True
41,79200,776,25329,3,4,15,0,True,False
47,118063,739,44020,1,25,81,0,False,False
21,82415,392,46206,2,4,20,0,False,True
61,43074,491,38937,0,4,50,0,True,False
64,40549,402,7787,0,29,6,0,False,True
25,54963,695,39000,3,12,79,0,True,False
47,116456,306,27875,3,8,17,0,False,False
47,121362,530,25514,0,28,26,0,False,False
63,126607,539,23580,3,13,22,0,False,False
63,77265,389,21291,3,8,73,0,False,True
39,41061,531,5288,3,21,64,0,False,False
49,83226,756,7734,3,3,76,0,True,False
30,53810,532,18464,3,12,86,0,True,False
47,85006,653,40008,4,18,58,0,True,False
44,147538,632,8814,4,15,87,0,False,True
58,138502,738,44154,4,25,37,0,False,True
52,47800,674,8851,0,14,78,0,False,False
20,141192,591,2600,2,9,88,0,False,True
46,133959,644,7866,0,5,72,0,True,False
32,132228,727,4692,4,29,90,0,True,False
60,100476,429,21373,0,15,96,0,True,False
22,94460,440,34100,2,8,28,0,False,True
58,82767,714,47477,3,23,96,0,True,False
25,53054,392,47877,1,3,86,0,False,False
27,100319,583,15847,4,12,49,0,False,True
46,127789,522,15507,4,5,73,0,True,False
28,70397,762,10963,2,29,67,0,True,False
56,38233,844,7106,3,9,89,0,False,True
52,136205,575,8333,3,20,76,0,False,True
61,115020,439,49826,1,3,93,0,False,False
63,50068,656,32913,3,23,67,0,False,True
43,90727,322,32283,2,8,41,0,True,False
34,115610,569,40423,3,21,46,0,False,False
51,95453,632,39076,2,13,87,0,True,False
51,129135,384,30815,4,8,87,0,True,False
43,50832,330,21584,4,5,55,0,True,False
60,133464,539,26382,4,25,82,0,False,True
31,111242,662,2064,0,7,11,0,False,True
58,38682,688,42848,4,5,26,0,True,False
21,117298,598,44883,2,29,72,0,False,True
22,48383,670,7820,1,9,92,0,True,False
56,83160,398,9512,3,5,82,0,False,True
36,118332,346,37725,4,8,13,0,False,True
21,48666,721,20615,0,12,36,0,False,True
21,83817,779,40776,0,4,64,0,False,False
47,116198,361,49812,2,9,51,0,False,True
42,135695,408,18884,1,28,76,0,False,False
56,59642,848,48455,4,22,22,0,False,False
51,66830,418,18952,4,22,60,0,False,False
52,128067,681,10711,0,14,2,0,True,False
20,35234,691,21473,2,19,56,0,False,True
38,82616,351,19249,0,13,40,0,True,False
21,34221,588,10597,0,3,28,0,False,False
63,36410,636,22984,1,4,77,0,False,True
45,105055,503,49022,2,1,97,0,True,False
51,86413,537,17388,1,22,3,0,False,False
25,26051,681,48137,2,1,63,0,True,False
51,135529,435,41727,4,11,98,0,True,False
23,100301,706,19782,3,16,23,0,False,True
30,101918,807,7608,3,4,55,0,False,True
36,103116,661,34115,2,29,32,0,True,False
57,147226,680,46180,3,7,84,0,False,True
43,81563,553,43773,0,12,28,0,False,True
24,122859,776,7500,4,6,8,0,True,False
53,69757,413,36342,4,24,3,0,False,True
25,146008,319,21209,3,20,94,0,False,True
41,102475,827,21977,2,9,89,0,False,False
30,76257,444,39040,0,26,53,0,False,True
35,120500,507,42462,2,8,94,0,False,False
52,25307,830,4521,3,14,29,0,True,False
28,81889,675,2300,4,15,94,0,False,False
25,93895,803,28075,4,21,98,0,True,False
35,120184,465,24979,2,22,89,0,False,True
48,60944,849,31802,1,5,81,1,False,True
22,124555,480,13225,2,15,59,0,False,False
39,63134,743,12481,1,6,24,0,True,False
55,52323,631,22217,2,1,38,0,False,True
38,141205,802,45813,1,20,28,0,False,False
45,96762,378,38153,1,9,97,0,False,False
22,112225,695,15755,1,4,62,0,False,False
38,121507,402,25914,1,2,51,0,False,True
39,50954,701,36592,0,6,7,0,True,False
51,80021,523,27269,1,2,23,0,False,True
26,114959,817,39732,1,3,46,0,False,True
60,120927,535,25555,4,7,90,0,True,False
52,104866,726,20874,0,20,78,0,False,False
59,95427,415,37535,1,17,28,0,False,True
58,29992,462,47344,3,9,24,1,False,False
37,26961,525,46036,0,22,7,0,False,False
59,37497,529,8925,4,9,79,0,True,False
20,142551,481,4107,2,19,49,0,True,False
30,57551,548,21852,4,5,3,0,True,False
47,101384,617,31183,4,25,2,0,False,False
44,80755,509,28617,0,6,7,0,False,False
42,38255,691,9722,0,18,80,0,False,True
50,29567,395,23631,3,1,21,0,False,False
49,73847,385,32622,3,25,9,0,True,False
61,129817,714,8883,0,17,12,0,True,False
54,73003,693,20708,0,14,93,0,True,False
26,45389,800,47221,0,15,24,0,True,False
35,69523,432,18197,2,5,33,0,False,False
45,148802,613,22134,4,17,78,0,True,False
21,86576,520,41386,3,21,43,0,False,True
20,68919,737,34550,3,21,82,0,False,False
31,107103,345,15642,1,23,5,0,True,False
24,147443,491,21439,2,23,79,0,False,True
56,28358,819,33243,0,11,71,0,True,False
51,113535,678,41557,0,10,89,1,False,False
28,132894,633,25583,2,17,14,0,False,False
60,146485,338,29349,3,25,36,0,False,True
54,101524,592,15002,0,1,35,0,False,False
38,148416,461,20523,1,5,50,0,False,True
35,130982,630,45749,3,16,88,0,True,False
22,122057,403,6007,4,7,79,0,False,False
39,30698,460,21435,2,12,11,0,True,False
43,91809,353,41343,3,8,24,0,True,False
52,118079,333,26093,4,18,75,0,False,False
43,80805,541,49952,1,1,44,0,True,False
30,56349,412,12294,2,20,51,0,False,True
27,101777,617,39405,0,12,17,0,False,True
55,75248,322,46538,0,4,70,0,False,True
57,100033,417,48310,4,26,85,0,False,False
59,132411,511,11908,3,12,8,0,True,False
39,123239,717,13699,1,22,79,0,True,False
54,69041,412,35633,4,1,96,0,True,False
44,56954,343,2376,1,1,74,0,True,False
54,33002,427,15255,1,3,28,0,False,True
44,94783,457,14647,1,21,79,0,False,False
48,132524,693,39176,2,12,12,0,False,True
37,112234,811,9163,4,22,43,0,False,True
37,149857,344,40051,2,21,82,0,False,False
21,44738,407,35744,3,13,37,0,False,False
54,35703,518,7443,3,29,88,0,False,True
35,138776,742,14324,0,13,63,0,True,False
60,74422,614,22143,0,21,93,0,False,False
55,108106,476,41363,0,9,63,0,False,False
52,86899,527,5920,3,18,10,0,False,True
23,37392,566,18375,1,28,78,0,True,False
52,69724,678,38996,1,28,80,0,False,False
33,57299,788,12748,4,1,37,0,False,True
40,40641,589,29535,3,6,11,0,False,False
39,104534,656,16715,0,25,90,0,True,False
27,31305,503,48252,3,23,19,0,False,True
26,123262,512,7450,1,24,52,0,False,True
22,43782,622,26010,1,5,18,0,True,False
36,103257,480,1020,2,26,94,0,False,True
52,130299,798,15717,2,4,32,0,True,False
31,102963,619,48348,4,6,23,0,False,True
41,137086,382,43885,3,3,12,0,True,False
41,146987,602,10664,2,17,58,0,False,False
49,45566,561,2099,2,11,77,0,False,False
57,149591,499,24225,3,4,21,0,False,False
57,92766,539,3637,1,25,21,0,False,True
64,31511,594,42349,4,20,93,0,True,False
27,139816,811,41512,4,1,93,0,True,False
46,132765,695,20797,4,4,91,0,False,False
46,143360,437,41225,2,23,29,0,False,False
53,51177,428,11807,1,3,79,0,False,False
40,29765,348,18738,4,10,47,0,True,False
49,45354,592,7402,3,22,12,0,False,False
52,48929,835,5521,4,1,58,0,False,True
47,53820,610,9382,0,27,41,0,False,False
52,136576,836,46460,1,4,19,0,False,False
24,54523,533,38121,0,19,12,0,True,False
38,96088,508,16065,1,1,23,0,False,True
23,91163,393,20934,3,16,5,0,True,False
54,102525,626,15425,2,19,26,0,False,True
36,38780,524,14111,2,20,63,0,False,True
63,31589,310,41799,1,21,52,0,False,False
47,59812,628,16510,4,22,10,0,False,False
49,118664,311,38851,0,18,86,0,True,False
48,70939,334,9816,3,2,39,0,True,False
25,76493,746,13317,4,6,23,1,True,False
54,129188,751,3175,2,21,11,0,False,True
60,118326,519,12341,4,1,92,0,True,False
56,65953,740,26654,0,19,95,0,False,True
43,90785,834,22608,2,27,72,0,False,True
48,44309,528,18579,1,5,48,0,False,True
50,79195,643,31194,3,29,92,0,False,True
54,140662,379,35837,3,28,16,0,False,True
52,50901,652,4358,2,28,46,0,False,False
40,48576,695,19822,1,2,47,0,False,True
51,56508,589,42576,0,1,95,0,False,True
42,99711,754,38012,3,16,48,0,False,False
52,50464,427,20727,2,25,80,0,False,False
22,85281,842,35579,3,21,69,0,False,False
37,41260,658,32018,1,2,99,0,True,False
44,149997,826,17555,0,26,25,0,True,False
61,60440,612,6906,1,4,77,0,False,True
50,120082,374,41751,4,3,93,0,False,True
22,130583,845,5063,1,23,91,0,False,True
59,81683,495,44214,1,17,81,0,False,True
43,149206,328,9644,3,15,37,0,False,False
51,66430,315,43378,1,10,63,0,True,False
41,26987,722,9142,2,12,29,0,False,False
42,139778,704,32644,3,12,58,0,True,False
21,50105,830,34521,3,20,98,0,False,False
46,103484,376,12564,4,7,94,0,False,True
61,143747,528,40619,2,27,31,0,True,False
21,38026,596,6104,1,10,86,0,False,True
45,93309,809,28299,4,29,89,0,True,False
36,70927,837,48958,2,5,68,0,True,False
59,100414,625,14421,4,20,99,0,False,True
52,82535,662,24211,0,20,41,0,False,True
28,67946,658,12202,1,11,50,0,False,True
62,81561,623,44871,4,28,44,0,False,False
58,35377,625,43185,0,2,9,0,True,False
48,78592,464,42127,1,24,59,0,True,False
61,32347,754,4685,4,16,90,0,True,False
45,58776,452,25661,4,12,91,0,False,True
54,28783,426,43637,4,16,27,0,True,False
44,80798,492,19366,4,4,82,0,True,False
43,29298,829,38712,3,2,94,0,False,True
32,95204,309,25276,4,25,59,0,False,True
26,111207,391,16410,3,29,95,0,True,False
55,125356,438,49239,3,28,3,0,False,False
64,80161,780,10678,0,10,93,0,False,True
39,85652,748,25575,1,13,7,0,False,False
20,59484,632,42401,3,23,82,0,False,False
27,123614,639,42230,2,19,16,0,False,False
35,137695,351,14888,3,15,49,0,False,False
33,45922,765,17727,2,23,32,0,False,True
31,59028,774,49971,0,1,89,0,True,False
42,136461,700,4081,2,28,44,0,True,False
34,45316,738,24021,0,17,96,0,False,True
47,101996,808,10449,0,20,19,0,False,True
53,41968,452,16657,0,4,3,0,False,False
21,55266,813,36059,2,20,60,0,False,False
51,120745,802,2532,2,9,35,0,False,True
42,49000,305,38130,0,6,29,1,True,False
41,148239,799,17015,0,3,75,0,False,False
44,39011,417,38756,1,22,70,0,False,True
41,27866,784,7344,0,2,83,0,False,True
41,137669,767,42198,4,18,45,0,False,True
61,30898,460,49461,1,23,27,0,False,False
25,43395,569,10106,1,19,69,0,False,True
34,64019,355,35206,1,7,90,0,True,False
62,128243,527,48587,4,3,35,0,False,True
56,29006,448,10652,1,28,19,0,False,False
52,59393,345,25550,1,28,17,0,True,False
27,35956,443,7389,2,18,35,0,True,False
63,75042,639,23361,2,20,77,0,False,True
63,121199,712,36847,0,20,78,0,False,True
24,31078,819,40063,0,19,30,0,True,False
58,54631,643,14703,3,9,48,0,False,True
23,120676,686,19642,4,16,57,0,False,False
25,146724,772,42326,2,6,17,0,True,False
64,87901,574,37509,0,21,15,0,False,True
51,132227,652,14881,4,29,82,0,True,False
49,94497,365,16414,1,12,14,0,False,True
54,119813,378,15329,4,28,14,0,False,True
59,142192,501,23831,2,6,45,0,False,False
35,66574,412,42091,3,13,97,0,False,True
32,143494,390,8588,2,27,38,0,False,True
61,56417,440,1903,0,24,63,1,False,True
49,113020,588,45416,0,5,75,0,False,False
38,108639,710,43723,4,29,11,0,False,True
36,90006,676,36572,2,13,48,0,False,True
38,119881,683,18610,0,20,26,0,False,True
47,136862,451,35052,1,7,67,0,True,False
45,64454,618,34457,1,12,25,0,False,False
56,26587,668,22527,3,21,81,0,True,False
45,146688,761,38550,4,4,61,0,False,False
42,133107,311,30011,0,5,86,0,False,False
28,140584,455,38275,3,16,93,0,True,False
31,79710,776,35764,1,27,26,0,False,False
20,148157,700,33004,3,4,34,0,False,False
20,111567,476,25064,3,8,90,0,True,False
53,116748,640,29702,0,16,9,0,False,True
51,100886,356,21165,0,8,40,0,False,False
44,43816,747,9631,0,17,75,0,True,False
59,110824,502,22852,4,14,7,0,False,False
64,54432,501,5507,3,12,30,0,True,False
20,134758,629,1527,3,3,66,0,False,True
35,73617,662,29981,4,27,30,0,False,False
58,97373,753,36764,1,20,68,0,False,True
24,59217,655,37235,2,2,58,0,False,True
41,45884,515,48540,1,13,55,0,True,False
48,30454,322,34471,4,21,14,0,False,False
22,99960,454,1662,3,11,77,0,False,False
31,127421,485,25940,3,24,89,0,False,False
45,132173,548,42882,0,12,77,0,False,False
35,68618,433,7256,0,18,77,0,False,False
56,108948,620,29432,3,9,37,0,True,False
41,87671,689,9367,3,29,44,0,False,False
48,72111,733,47228,0,7,6,0,False,True
33,64613,321,39065,0,6,26,0,False,True
47,110678,424,26511,1,24,14,0,False,False
24,145592,378,9573,3,14,8,0,True,False
49,127928,350,16582,3,18,24,0,True,False
24,149917,475,6378,4,14,86,0,False,False
31,84993,552,14500,1,5,39,0,False,True
35,33848,545,1305,2,20,49,0,False,False
45,139853,405,22881,2,24,85,0,False,False
45,103672,492,5697,2,13,63,0,False,False
40,144279,615,8222,0,1,26,0,True,False
58,91125,601,8933,2,12,10,0,True,False
55,111444,847,18849,4,19,77,0,False,True
52,142509,567,25236,0,10,58,0,False,True
49,86602,469,45231,0,24,14,0,False,False
56,97045,754,34170,2,5,73,0,False,True
42,130997,591,13901,0,20,71,0,False,False
29,67222,440,7940,1,6,39,0,False,True
24,74223,445,49790,1,12,31,0,False,False
55,135012,724,20054,2,21,50,0,True,False
53,136246,613,41863,4,3,16,0,False,False
50,90333,483,44610,0,29,72,0,True,False
29,77732,427,5544,3,27,51,0,True,False
38,147650,586,26318,2,14,15,0,False,True
51,74420,552,7074,0,21,89,0,False,True
20,100504,685,40618,2,4,38,1,True,False
24,27462,529,34518,2,17,79,0,False,False
64,34460,570,26444,4,17,89,0,False,False
23,124319,714,21446,3,14,71,0,False,True
35,34275,497,29543,0,15,90,0,False,False
43,119213,622,25789,2,7,72,0,False,False
35,38269,355,2617,2,4,82,0,False,False
21,147672,502,36298,0,17,21,0,True,False
47,90942,437,4333,2,6,16,0,True,False
51,97920,721,41002,2,11,67,0,False,False
46,145737,356,23152,2,12,65,0,False,True
39,47553,370,25091,1,15,13,0,False,False
43,49366,671,1511,1,27,64,0,False,True
31,69036,813,48314,3,12,61,0,True,False
54,42369,383,38850,4,11,32,0,False,False
52,36795,342,17636,0,27,12,0,False,False
52,95021,432,21517,4,17,95,0,False,True
62,132205,694,32786,4,8,41,0,False,True
56,93154,364,9820,1,12,66,0,False,False
31,55143,589,37244,3,29,8,0,False,False
22,54425,675,10178,4,9,59,0,False,True
20,113209,766,2725,4,11,25,0,True,False
52,100139,512,19477,2,3,5,0,False,True
59,130232,447,47533,0,7,45,0,False,False
29,30368,770,35469,3,29,2,0,True,False
62,29621,448,9496,0,21,42,0,True,False
63,83829,387,13270,1,3,38,0,True,False
48,85294,623,11472,4,21,3,0,True,False
32,39719,695,21724,4,16,46,0,False,False
31,54227,703,31416,0,10,22,0,True,False
50,134430,381,36575,1,23,33,0,False,True
21,32566,585,16654,2,7,32,0,False,True
54,37306,681,12078,2,25,17,0,False,True
42,78822,569,29030,4,24,82,0,False,False
36,49042,591,8572,4,20,56,0,True,False
45,40086,752,18408,3,15,3,0,False,True
27,42387,323,20359,0,21,70,0,False,True
48,52042,610,9698,4,21,49,0,False,True
45,114424,760,5856,1,10,55,0,True,False
29,76618,507,28527,0,12,77,0,False,True
45,117050,737,40492,3,18,31,0,True,False
53,43323,837,10245,2,28,81,0,True,False
60,43019,635,44634,3,23,21,0,True,False
26,100426,721,43864,0,23,16,0,False,False
23,65863,620,29946,2,9,17,0,False,False
64,145953,796,38355,1,29,96,0,True,False
30,136023,462,38690,2,9,1,1,True,False
48,35283,840,38814,2,4,72,0,False,False
55,43279,464,32645,1,5,65,0,False,False
44,71999,594,20278,4,7,66,0,True,False
40,87780,341,8203,4,26,37,0,False,False
55,47908,584,49171,2,7,24,0,False,True
29,86584,686,22658,2,11,91,0,True,False
56,138002,437,43596,3,10,84,0,True,False
28,75225,486,16797,4,11,62,0,False,False
43,62952,730,33806,1,24,21,0,False,True
54,125706,715,31958,2,24,37,0,False,False
54,62663,725,7265,2,18,35,0,False,True
55,147019,715,7598,3,12,38,0,False,True
37,134708,325,36183,3,25,53,0,True,False
58,86381,670,18142,3,16,15,0,False,True
51,72929,684,27998,0,27,42,0,True,False
43,34343,355,26890,1,4,94,0,False,True
42,101173,552,29878,0,17,4,0,True,False
51,125260,405,15306,2,17,39,0,False,True
56,64791,429,48345,3,21,79,0,False,False
31,54134,675,12885,3,23,23,0,False,True
32,137366,607,45145,3,5,15,0,False,False
42,72101,390,44826,4,13,90,0,False,True
44,94443,692,8443,1,3,12,0,False,True
54,124111,833,32839,0,27,82,0,True,False
60,82530,409,18084,1,23,70,0,False,True
49,71799,639,24911,3,17,82,0,False,True
36,29827,655,5383,2,11,54,0,False,True
39,121143,467,27777,4,1,88,0,False,False
44,87653,751,35361,1,28,38,0,True,False
41,38699,404,15758,2,18,28,0,True,False
32,127828,449,30521,3,17,79,0,False,True
38,138497,445,21529,3,9,19,0,False,True
55,116419,598,24091,3,20,69,0,False,False
31,139527,466,40794,3,7,64,1,False,True
60,141972,347,32381,4,5,4,0,True,False
38,30313,538,36380,4,16,81,0,True,False
31,38598,306,31932,1,7,10,0,False,False
28,136362,763,45097,3,13,12,0,False,False
26,140445,752,2908,4,13,69,0,True,False
47,53807,670,40722,2,15,7,0,False,False
33,95423,848,48953,4,23,44,1,False,True
50,94390,786,31358,4,17,23,0,False,True
38,70226,510,31412,1,17,2,0,False,False
35,84550,464,19174,4,27,94,0,True,False
24,105072,424,16496,2,19,37,0,False,False
54,28558,636,3928,3,10,69,0,True,False
31,100308,491,31632,0,2,20,0,False,False
44,75113,513,33309,1,14,90,0,False,False
40,77999,627,10280,2,23,44,0,False,False
55,80878,680,41449,1,3,70,0,False,True
42,61343,538,22635,3,7,93,0,False,True
35,83219,831,27957,4,25,74,0,True,False
58,60186,381,37895,4,28,51,0,False,False
64,61966,662,5963,2,11,80,0,False,True
61,58769,804,28521,3,17,98,0,False,False
58,144932,501,33615,0,15,31,0,True,False
33,130423,803,45529,0,19,41,0,False,True
50,78218,336,47322,4,29,58,0,True,False
24,44229,701,22695,3,11,5,0,False,True
54,100209,475,10357,3,15,33,0,False,False
42,52877,844,26176,2,15,43,0,True,False
48,83001,766,19409,0,6,19,0,False,True
62,122137,500,1987,2,15,32,0,False,True
30,63084,839,2965,1,29,87,0,False,False
37,106780,846,41084,3,9,3,0,True,False
31,117892,693,32318,0,5,1,0,True,False
28,41806,341,27015,2,19,41,1,True,False
29,113635,692,30191,4,24,92,0,False,False
63,135177,740,47814,1,29,48,0,False,True
36,62034,805,1868,2,28,39,0,False,True
57,65317,619,38146,4,5,5,0,True,False
26,80468,514,49231,0,22,77,0,False,True
32,44094,370,30032,0,13,11,0,True,False
59,82796,535,29305,1,18,22,0,False,False
61,35589,580,23640,4,20,87,0,False,False
28,82221,461,19318,3,17,64,0,False,False
46,149855,490,14246,0,15,12,0,True,False
21,26657,308,34844,3,14,53,0,False,True
24,123300,359,33602,3,29,55,0,False,False
48,142229,524,22584,2,16,53,0,True,False
56,64531,586,16169,2,4,21,0,True,False
57,77227,468,26968,0,17,19,0,False,False
38,28164,361,7385,3,20,69,0,False,False
27,118078,648,9222,2,14,88,0,False,False
64,108973,741,26444,4,18,94,0,False,True
20,66247,313,39248,4,6,72,0,False,True
41,129041,463,41545,4,22,66,0,True,False
36,44601,719,6362,4,8,59,0,False,False
26,118966,819,34718,3,9,49,0,False,False
44,75599,847,9250,4,24,98,0,False,True
64,96545,327,3818,3,1,59,0,False,False
23,140295,745,37368,0,13,23,0,True,False
55,29552,507,45109,0,3,3,0,False,False
25,141452,769,16053,4,6,56,0,False,True
50,34417,403,28426,4,17,58,0,True,False
38,83579,725,48101,4,8,88,0,True,False
63,132525,400,40023,0,6,62,0,False,False
58,93207,840,25892,2,16,18,0,True,False
46,97055,821,44675,0,1,61,0,False,False
29,127266,405,30361,4,10,37,0,False,False
45,103270,576,17007,2,18,54,0,False,True
38,136426,364,15241,2,22,95,0,True,False
58,142865,487,45858,1,26,78,0,False,False
22,28722,616,46073,3,14,65,0,False,False
64,95442,437,24902,4,24,14,0,False,False
32,120632,642,25506,3,5,5,0,True,False
47,65031,404,18562,1,17,95,0,True,False
39,104235,845,21239,3,14,95,1,True,False
47,46438,679,14065,4,26,94,0,False,False
27,83819,409,46415,1,18,62,0,True,False
60,68856,844,42291,3,4,1,0,False,False
58,58576,653,39805,0,20,63,0,True,False
20,66938,616,34295,2,23,67,0,True,False
22,74028,565,19443,1,2,20,0,False,False
32,84807,364,10290,0,7,43,0,True,False
47,74877,632,1211,4,7,85,0,False,False
44,122783,812,19098,2,7,94,0,True,False
